o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1470,-3.9,9.75,3.2,9.87,22.85,-315,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,315,290.6508,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1471,-3.9,9.75,3.2,9.87,22.85,-335,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,335,290.6498,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1472,-3.9,9.75,3.2,9.87,22.85,-355,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,355,290.6498,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1473,-3.9,9.75,3.2,9.87,22.85,-375,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,375,290.652,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1474,-3.9,9.75,3.2,9.87,22.85,-395,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,395,290.65,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1475,-3.9,9.75,3.2,9.87,22.85,-415,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,415,290.6462,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1476,-3.9,9.75,3.2,9.87,22.85,-435,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,435,290.6495,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1477,-3.9,9.75,3.2,9.87,22.85,-455,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,455,290.648,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1478,-3.9,9.75,3.2,9.87,22.85,-475,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,475,290.6508,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,200,1479,-3.9,9.75,3.2,9.87,22.85,-525,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,525,290.6491,8.0166
